status;HolderAddress;Balance V1;Post LP drain movements;V2 Migration Qty;comment;;0x7b1ab81f951b9fb609de4c162e0dedecdd6cc54f; 13 846,00   ;#N/A
token not transferred;0x8756e8c5e1c9129d32216a12491adffb8668b6a7; 1 193 530,36 ;; 1 193 530,36 ;ok;;;;
transfer to 249F;0x06095fdfdb5f69a175c7c03fb271c0579ff84a2e; 1 154 885,69 ;; 1 154 885,69 ;ok;;;;
token not transferred;0x6640a3b5fa944905de21249e698de901ef7864ae; 1 144 269,96 ;; 1 144 269,96 ;ok;;;;
token not transferred;0xc3ed56b5995fdcae22846183c6dc7560150cade0; 1 141 794,81 ;; 1 141 794,81 ;ok;;;;
token not transferred;0x397a429e19ac4367ec36d287e89c07e928f886a9; 1 120 872,27 ;; 1 120 872,27 ;ok;;;;
transfer to 249F;0xc9571ee22a5258ac82fcd5f95ca7ed038263ef5a; 1 119 875,81 ;; 1 119 875,81 ;ok;;;;
transfer to 249F;0x7acc0b157af05456311d7a93a65f4e9aa5858ec8; 1 116 089,81 ;; 1 116 089,81 ;ok;;;;
transfer to 249F;0x3ca2888d575d2977875cdd7cb083f54c79fe0185; 1 103 575,22 ;; 1 103 575,22 ;ok;;;;
transfer to 249F;0x26ab4e83348194f06c9703e0cb088219783b08ae; 1 096 663,87 ;; 1 096 663,87 ;ok;;;;
transfer to 249F;0x658ee48c3e78674df85ebd12cb9cd7ce2cb86c7c; 1 076 198,84 ;; 1 076 198,84 ;ok;;;;
transfer to 249F;0x28ee93fb2ba4f3581d930aa3986f1c53ad95906a; 1 075 405,58 ;; 1 075 405,58 ;ok;;;;
transfer to 249F;0x74c8b589101515974a10fb8d8bb754f5a1ccf243; 1 074 630,11 ;; 1 074 630,11 ;ok;;;;
transfer to 249F;0x2ce09be861ec99760466f57232f41559b53061a1; 1 072 397,78 ;; 1 072 397,78 ;ok;;;;
transfer to 249F;0x31460cfda82af09c26306092843dfdb8b65f0544; 1 056 691,97 ;; 1 056 691,97 ;ok;;;;
transfer to 249F;0x98e8ef70e53b32ccd3ab289cfe6ce5fb5fac54b2; 1 046 753,16 ;; 1 046 753,16 ;ok;;;;
transfer to 249F;0x6e5f9d99931239bb9e3b6d82813376e505b97f53; 1 033 156,70 ;; 1 033 156,70 ;ok;;;;
transfer to 249F;0x72eeab31228f0348d5d9bc819b74731ee9793b5a; 1 012 573,46 ;; 1 012 573,46 ;ok;;;;
token not transferred;0xa47a006d57465b97e14eba9d9c356d375ff20e9e; 1 011 265,76 ;; 1 011 265,76 ;ok;;;;
token not transferred;0x5bdf3bbb391fd5d96cd8efb61c6694efb61cb99b; 1 009 191,88 ;; 1 009 191,88 ;ok;;;;
token not transferred;0x8e68d30ae71e32ba1e13cdce606838f70ca83c3c; 1 006 181,26 ;; 1 006 181,26 ;ok;;;;
token not transferred;0xba103d787b44ffad1b9a64bf6df32f11328c10e2; 1 003 362,00 ;; 1 003 362,00 ;ok;;;;
token not transferred;0x13ff5140e007fe303cf1b6ce04e2214d3a63f850; 1 002 993,06 ;; 1 002 993,06 ;ok;;;;
transfer to 249F;0x3e9d9757ee3764e453f642f49eff16b94bf21711; 1 000 076,73 ;; 1 000 076,73 ;ok;;;;
token not transferred;0x521d9d1db26255a1b3cd6b3b68a0791317d6659d; 1 000 000,00 ;; 1 000 000,00 ;ok;;;;
token not transferred;0x09b658c800bb644a51a3d6ea88d5714eb4ace4e7; 1 000 000,00 ;; 1 000 000,00 ;ok;;;;
token not transferred;0x67a0eaee2c4d2d365c3caf2ec1171e20c213804b; 1 000 000,00 ;; 1 000 000,00 ;ok;;;;
transfer to 249F;0xf0d9a8908c12c13008282ef17633e35ec41eade8; 1 000 000,00 ;; 1 000 000,00 ;ok;;;;
transfer to 249F;0xc4a80bf09edd7c28ae4f321359a23beb5c3df788; 1 000 000,00 ;; 1 000 000,00 ;ok;;;;
